id,status_group
3402,functional
14136,non functional
5702,functional
11739,non functional
785,functional
6376,functional
405,functional
114,functional
5869,functional
4105,non functional
53,non functional
6433,non functional
3463,non functional
8679,functional
10067,functional
3121,functional
5965,functional
9604,non functional
14655,functional
4635,non functional
12301,functional
10174,non functional
7166,functional
3535,functional
11581,functional
10396,functional
3640,functional
12658,functional
12180,functional
12478,functional
14222,functional
11736,non functional
4270,non functional
14407,functional
10811,non functional
1588,functional
9724,functional
7686,functional
9338,functional
5109,non functional
8085,functional
9144,functional
11536,non functional
12589,functional
12083,functional
8937,functional
9708,non functional
11456,functional
876,functional
7744,non functional
5559,functional
6411,non functional
11972,functional
8855,functional
4051,functional
2048,functional
13515,functional
14074,non functional
13368,functional
1402,non functional
12387,functional
14706,non functional
7832,non functional
6491,non functional
10224,functional
2555,functional
1024,non functional
1897,non functional
5042,functional
2370,functional
1390,non functional
10766,functional
870,functional
7993,functional
8588,functional
2191,functional
11192,functional
8867,functional
2556,functional
6684,non functional
10,functional
8907,non functional
11655,functional
11764,non functional
13906,functional
5932,functional
4696,functional
13036,functional
8163,functional
12401,functional
4810,functional
7255,non functional
8120,non functional
13096,non functional
7759,non functional
4840,non functional
1772,functional
1810,functional
10349,functional
10680,functional
10471,non functional
10794,non functional
6029,functional
2197,functional
5988,non functional
12905,functional
6011,non functional
11348,non functional
5849,non functional
10853,non functional
420,functional
3784,non functional
12007,non functional
6410,functional
12771,functional
3572,functional
12,non functional
12134,non functional
981,non functional
13828,functional
7707,non functional
3669,functional
4677,non functional
12018,functional
37,functional
8403,functional needs repair
172,functional
9894,non functional
11796,functional
13042,non functional
11063,functional
14301,functional
11257,functional
14602,functional
8642,non functional
9946,non functional
9631,non functional
3072,non functional
3898,functional
6884,functional
13934,functional
12777,non functional
1363,non functional
14356,non functional
8612,non functional
11523,functional
8580,non functional
6319,functional
7765,functional
13147,functional
1512,functional
12827,non functional
11614,functional
9117,non functional
6131,non functional
11407,functional needs repair
8287,functional
2113,functional
12070,non functional
3850,functional
7070,functional
3453,functional
5655,functional needs repair
14485,non functional
13907,non functional
13687,functional
14389,non functional
1339,functional
5145,functional
4595,non functional
10240,non functional
12206,functional
14605,functional
1313,functional
12381,functional
13037,functional
13106,functional
557,functional
13380,functional
9124,functional
13186,functional
5774,non functional
11250,non functional
12488,non functional
14239,functional
637,functional
12159,functional
3477,functional
888,functional
2355,functional
13852,non functional
5432,non functional
11818,non functional
6378,non functional
5513,non functional
3685,functional
11491,non functional
13187,non functional
12244,functional
9221,functional
3144,functional
6389,functional
8204,functional
11110,functional
7458,functional
10850,functional
9706,functional
13104,non functional
10805,non functional
14440,functional
11786,functional
5434,non functional
7718,functional
4346,non functional
12346,functional
12057,functional
6783,non functional
5292,functional
5188,functional
10289,functional
2433,non functional
11183,non functional
8940,functional
8208,functional
3229,functional
3512,functional
6198,functional
2656,functional
2426,functional
5301,functional
9446,functional
1655,functional
918,non functional
662,functional needs repair
6213,non functional
3224,functional
4747,functional
13611,functional
2110,non functional
8234,non functional
7648,functional
2497,functional
14818,functional
4834,non functional
5377,functional
3027,functional
6733,functional
14441,functional
10549,functional
6012,non functional
14496,functional
4850,non functional
7168,functional
3153,functional
14209,functional
5031,functional
5454,functional
11697,functional
5200,non functional
9360,functional
13636,functional
6723,functional
1752,functional
13681,non functional
11197,non functional
8535,functional
1832,functional
13690,non functional
12068,functional
6300,non functional
11898,non functional
9288,functional
6072,functional
2505,functional
2384,functional
7727,non functional
3278,functional
2420,functional
1563,non functional
2181,functional
7195,functional
7205,functional
10117,non functional
460,functional
5214,non functional
3941,non functional
13510,functional
4799,functional
11729,functional
7459,functional
2938,non functional
4715,functional
2474,functional
12943,functional
13259,functional
8182,non functional
6601,non functional
13462,non functional
11293,functional
3222,non functional
1454,functional
7873,functional
3960,functional
9500,non functional
9983,non functional
12318,functional
13550,functional
81,functional
1346,functional
11229,functional
4217,functional
8791,functional
13473,functional
8929,functional
6552,non functional
643,functional
8858,functional
7986,functional
12416,functional
12475,functional
46,non functional
3255,non functional
8958,functional
1397,functional
9576,functional
3962,functional
1377,non functional
6084,functional
5361,non functional
14203,functional
6345,functional
6270,non functional
13458,non functional
6320,functional
3118,functional
3064,non functional
14429,functional
7602,non functional
3871,functional
2933,functional
9033,functional
10880,functional
4218,non functional
312,functional
1880,non functional
5866,functional
12581,functional
3662,functional
1190,non functional
812,functional
13172,functional
13658,functional
2631,non functional
515,functional
4366,functional
8888,non functional
6049,functional
1946,functional
4089,non functional
10377,non functional
3666,non functional
11168,non functional
258,functional
2943,functional
7125,non functional
8829,functional
12317,functional
10899,functional
7073,non functional
7811,non functional
14521,functional
6211,non functional
13247,functional
3764,functional
7909,functional needs repair
10326,non functional
679,functional
11864,non functional
6779,non functional
8379,functional
11705,functional
7233,functional
5805,functional
4147,non functional
12977,non functional
4449,functional
12953,non functional
2877,non functional
9764,functional
1626,non functional
13197,functional
6180,functional
7794,non functional
13086,functional
1533,functional
7880,non functional
2640,functional
440,functional
10228,functional
14189,functional
14099,non functional
3183,functional
7377,functional
6669,functional
13841,functional
1102,non functional
4639,functional
14656,functional
3297,non functional
6495,non functional
11881,non functional
3562,functional
10425,functional
14100,functional
14023,non functional
10085,functional
12840,functional
6775,non functional
1589,non functional
9231,functional
14688,non functional
5115,functional
7426,non functional
874,functional
9319,functional
4428,functional
7671,non functional
8407,functional
346,functional
2567,functional
6412,non functional
6959,non functional
1556,functional
3939,non functional
10679,functional
8861,non functional
14362,non functional
7287,non functional
12558,functional
5560,functional
4917,non functional
4450,functional
12052,functional
7238,functional
1904,functional
7442,functional
6885,functional
7062,non functional
5332,non functional
7006,non functional
6465,functional
5672,non functional
2612,non functional
10669,functional
13098,functional
9829,functional
2221,non functional
1895,functional
8342,functional
7162,functional
13973,non functional
716,non functional
11193,functional
12397,functional
7025,functional
8422,functional
14620,non functional
8851,functional
8129,functional
5730,functional
13727,non functional
8137,functional
8621,functional
5329,functional
1853,functional
14236,functional
13624,functional
1862,non functional
7282,non functional
2744,functional
1277,functional
14151,functional
4137,functional
7617,non functional
12693,functional
2168,functional needs repair
10843,non functional
3199,functional
8538,functional
562,functional
9401,non functional
1398,functional
1479,functional
9264,non functional
14048,functional
7751,functional
8283,functional
13853,non functional
449,functional
10139,non functional
14492,functional
336,functional
6822,functional
4003,functional
6217,functional
3073,non functional
9493,functional
4592,non functional
12911,functional
7733,functional
5342,functional
12467,functional
475,non functional
4510,non functional
3018,functional
10426,functional
971,functional
5271,functional
12274,functional
10124,non functional
1463,functional
13338,non functional
10575,non functional
4226,functional
2793,functional
853,functional
8293,non functional
2332,functional
12384,functional
2342,functional
4528,non functional
12687,functional
154,functional
8348,non functional
162,non functional
1710,non functional
14082,functional needs repair
6421,non functional
8536,functional
533,functional
12176,functional
12175,functional
7810,functional needs repair
2130,functional
3931,functional
99,functional needs repair
9512,non functional
11311,functional
13701,non functional
9023,functional
3772,non functional
2511,functional
11245,non functional
194,functional
4471,functional
6641,non functional
4106,functional
636,non functional
13612,functional
1381,functional
9674,non functional
14577,non functional
7884,functional
13245,non functional
4643,functional
5986,functional needs repair
2647,functional
588,functional
14755,functional
11036,functional
11833,functional
8107,functional
7598,functional
14036,non functional
12965,functional
1652,functional
10260,functional
1058,functional
1858,functional
1368,functional
5872,functional
174,functional
7067,non functional
7112,functional
10813,functional
9132,non functional
13914,functional
3510,functional
188,non functional
10788,non functional
9546,functional
7104,functional
11672,functional
1393,functional
5538,functional
9155,non functional
5777,functional
5690,functional
222,functional
1435,functional
3070,non functional
11012,functional
2658,functional
1471,functional
12826,functional
3319,non functional
2978,functional
9952,functional
8698,functional
2010,functional
4131,non functional
10949,functional
5918,non functional
13689,functional
12181,non functional
12572,functional
9000,functional
161,functional
10054,non functional
11852,functional
7344,non functional
11740,functional
5626,functional
8724,non functional
909,functional
8528,functional
14516,non functional
6193,non functional
10049,functional
4107,non functional
13084,non functional
2534,non functional
496,functional
7295,functional
10895,non functional
2494,non functional
2101,functional
6431,non functional
11341,functional
6531,functional
1767,functional
8721,functional
13860,functional
9485,functional
11906,non functional
10107,functional
7856,functional needs repair
